Index_Name,Date,Value_Without_Dividends__USD_,Value_With_Dividends__USD_,Value_With_Dividends_Net_of_Tax__USD_,Value_Without_Dividends__GBP_,Value_With_Dividends__GBP_,Value_With_Dividends_Net_of_Tax__GBP_,Value_Without_Dividends__EUR_,Value_With_Dividends__EUR_,Value_With_Dividends_Net_of_Tax__EUR_,Value_Without_Dividends__AUD_,Value_With_Dividends__AUD_,Value_With_Dividends_Net_of_Tax__AUD_,Value_Without_Dividends__JPY_,Value_With_Dividends__JPY_,Value_With_Dividends_Net_of_Tax__JPY_
Russell RAFI US,12/29/2023,3640.596600,4924.367623,,4446.652114,6014.659713,,4305.174442,5823.293257,,5138.236236,6950.114758,,,,
Russell RAFI US,12/28/2023,3654.027291,4942.271258,,4455.367563,6026.127692,,4298.100453,5813.415347,,5129.378207,6937.763860,,,,
Russell RAFI US,12/27/2023,3652.340472,4938.838399,,4447.216356,6013.700824,,4296.309740,5809.638964,,5135.244073,6944.078957,,,,
Russell RAFI US,12/26/2023,3649.211871,4934.366590,,4472.260155,6047.270443,,4323.189657,5845.701307,,5162.500815,6980.595384,,,,
Russell RAFI US,12/25/2023,3627.360993,4904.850001,,4441.635428,6005.896731,,4302.766198,5818.120345,,5133.851052,6941.897811,,,,
Russell RAFI US,12/22/2023,3627.360993,4904.850001,,4441.635428,6005.896731,,4302.766198,5818.120345,,5133.851052,6941.897811,,,,
Russell RAFI US,12/21/2023,3616.625746,4890.309104,,4450.012477,6017.193388,,4298.815126,5812.748186,,5132.611806,6940.186793,,,,
Russell RAFI US,12/20/2023,3579.303074,4839.806988,,4399.569774,5948.942600,,4260.849520,5761.369981,,5090.521721,6883.223379,,,,
Russell RAFI US,12/19/2023,3633.444278,4912.307665,,4441.051565,6004.168491,,4320.181923,5840.756360,,5173.634144,6994.598161,,,,
Russell RAFI US,12/18/2023,3601.220409,4868.404757,,4435.087720,5995.690266,,4309.916475,5826.474220,,5181.376359,7004.580240,,,,
Russell RAFI US,12/15/2023,3593.321109,4857.659635,,4405.670929,5955.841181,,4300.265657,5813.348228,,5148.474072,6960.005500,,,,
Russell RAFI US,12/14/2023,3606.288083,4874.904487,,4400.432606,5948.412374,,4284.773054,5792.066222,,5183.633862,7007.127383,,,,
Russell RAFI US,12/13/2023,3565.826990,4818.778150,,4432.694958,5990.243966,,4315.197011,5831.459891,,5215.382557,7047.950329,,,,
Russell RAFI US,12/12/2023,3505.904250,4737.645580,,4345.368635,5872.041858,,4247.797008,5740.190058,,5146.890346,6955.164932,,,,
Russell RAFI US,12/11/2023,3503.251645,4733.792978,,4346.405664,5873.110669,,4259.199820,5755.273170,,5139.862091,6945.274145,,,,
Russell RAFI US,12/08/2023,3485.003964,4709.045063,,4325.834304,5845.201005,,4227.571439,5712.425184,,5095.622945,6885.363207,,,,
Russell RAFI US,12/07/2023,3470.272622,4688.958439,,4296.929710,5805.919885,,4203.455657,5679.619736,,5070.234450,6850.792777,,,,
Russell RAFI US,12/06/2023,3446.159087,4655.421056,,4260.634526,5755.697049,,4171.733152,5635.600060,,5043.419960,6813.162970,,,,
Russell RAFI US,12/05/2023,3454.991945,4667.206985,,4265.289457,5761.804676,,4176.813295,5642.285857,,5070.215598,6849.146405,,,,
Russell RAFI US,12/04/2023,3474.289426,4692.903180,,4289.793010,5794.446229,,4196.258983,5668.104960,,5057.687884,6831.681719,,,,
Russell RAFI US,12/01/2023,3478.040371,4697.914385,,4286.775814,5790.302473,,4193.035635,5663.684237,,5047.507182,6817.849729,,,,
Russell RAFI US,11/30/2023,3440.659747,4647.109150,,4231.826196,5715.693990,,4119.268131,5563.668025,,4997.400448,6749.712862,,,,
Russell RAFI US,11/29/2023,3419.708013,4616.857204,,4193.469162,5661.491636,,4070.309075,5495.216464,,4973.720163,6714.887844,,,,
Russell RAFI US,11/28/2023,3416.558185,4611.592753,,4194.561820,5661.724416,,4064.338029,5485.951296,,4954.175059,6687.033137,,,,
Russell RAFI US,11/27/2023,3415.818521,4610.566124,,4218.768410,5694.363034,,4081.298241,5508.810054,,4984.624641,6728.092072,,,,
Russell RAFI US,11/24/2023,3424.729434,4622.453692,,4227.594304,5706.103000,,4089.326958,5519.479672,,5007.492119,6758.753028,,,,
Russell RAFI US,11/23/2023,3416.795466,4611.536365,,4243.029459,5726.677187,,4091.071998,5521.585205,,5014.926280,6768.480917,,,,
Russell RAFI US,11/22/2023,3416.795466,4611.536365,,4269.589894,5762.524932,,4107.449087,5543.688822,,5035.647530,6796.447706,,,,
Russell RAFI US,11/21/2023,3400.605541,4589.391717,,4223.261384,5699.632191,,4062.564043,5482.758157,,4991.163875,6735.978598,,,,
Russell RAFI US,11/20/2023,3412.684915,4605.555194,,4252.508625,5738.930980,,4075.131348,5499.553229,,5019.986580,6774.673268,,,,
